A,mode,event_by_tmax,graph_event_time,p_M,p_S,prediction_M,meta_type,error_M
0.8,1,0,,0.013390316463448642,0.005097811457147536,0,Precise,0
0.8,2,0,,0.03514353753289657,0.005221600474728995,0,Precise,0
0.8,3,0,,0.016440315282568195,0.019030711404271226,0,Precise,0
0.8,4,0,,0.004793903256875054,0.010958573361981193,0,Precise,0
0.8,5,0,,0.003447781603925664,0.003974725759751312,0,Precise,0
0.8,6,0,,0.002654521194644679,0.008468099995222914,0,Precise,0
0.8,7,0,,0.0010570098759152533,0.007697684712333358,0,Precise,0
0.8,8,0,,0.002081108147907275,4.9090488577702905e-06,0,Precise,0
1.0,1,0,,0.05315529961765099,0.015867914085527225,0,Precise,0
1.0,2,0,,0.12282897015792733,0.04450215771108257,0,Precise,0
1.0,3,0,,0.04592879976192282,0.06073678404575283,0,Precise,0
1.0,4,0,,0.02751575491220498,0.025176483431861994,0,Precise,0
1.0,5,0,,0.021617905348967757,0.07103300274665275,0,Precise,0
1.0,6,0,,0.02352716550207636,0.0814477991901262,0,Precise,0
1.0,7,0,,0.016218091752911744,0.06429968321066368,0,Precise,0
1.0,8,0,,0.04263637533131898,5.5591692746475476e-05,0,Precise,0
1.2,1,0,,0.12852976155131543,0.06516194262994014,0,Precise,0
1.2,2,0,,0.29039922903907966,0.20515028446223318,0,Fuzzy,0
1.2,3,0,,0.11966164571476047,0.18148859640506004,0,Precise,0
1.2,4,0,,0.12512180414989948,0.09425793418979322,0,Precise,0
1.2,5,0,,0.11010693039779736,0.3616053909448074,0,Fuzzy,0
1.2,6,0,,0.1470470636964455,0.3975127894120727,0,Fuzzy,0
1.2,7,0,,0.13658576716208035,0.35237028098710554,0,Fuzzy,0
1.2,8,0,,0.3722297204804897,0.0002241340485232016,0,Fuzzy,0
1.4,1,1,6.0,0.30593404868159824,0.1279710782685465,0,Fuzzy,1
1.4,2,0,,0.4161377452273648,0.30022710043720463,0,Limbo,0
1.4,3,0,,0.20981654712308806,0.1233718840297064,0,Fuzzy,0
1.4,4,0,,0.34135060834479064,0.329364915418199,0,Fuzzy,0
1.4,5,0,,0.33166106337467066,0.2541637745624416,0,Fuzzy,0
1.4,6,0,,0.4533984826349791,0.6419344890364699,0,Limbo,0
1.4,7,1,6.15,0.6078684276288384,0.5679052885082279,1,Limbo,0
1.4,8,0,,0.7910401114793788,6.8833770072417484e-06,1,Limbo,1
1.6,1,1,3.75,0.4002591117501929,0.6742875934033223,0,Limbo,1
1.6,2,0,,0.6762361536967284,0.8634843893488541,1,Fuzzy,1
1.6,3,1,5.4,0.4642992832367075,0.6535361384381632,0,Limbo,1
1.6,4,0,,0.6010133830825282,0.7619136489820023,1,Fuzzy,1
1.6,5,1,5.55,0.6428547064104706,0.7364911085417186,1,Fuzzy,0
1.6,6,1,4.2,0.769585857071748,0.6899060431485299,1,Fuzzy,0
1.6,7,1,3.15,0.7230619284897435,0.925246759772128,1,Fuzzy,0
1.6,8,1,4.8,0.9677684051280386,0.6567740153821016,1,Fuzzy,0
1.8,1,1,2.55,0.8479463250053962,0.9120144968274301,1,Precise,0
1.8,2,0,,0.9442186093021765,0.9683689312471813,1,Precise,1
1.8,3,1,4.35,0.874247041386359,0.9366191749296978,1,Precise,0
1.8,4,0,,0.9479419805129019,0.9398112380274738,1,Precise,1
1.8,5,1,5.4,0.9569202885993641,0.979512416017895,1,Precise,0
1.8,6,1,4.05,0.9798318442894614,0.9489711467881065,1,Precise,0
1.8,7,1,3.0,0.9830545817718347,0.9515253071483203,1,Precise,0
1.8,8,1,4.65,0.9987326630868962,0.9845249771650005,1,Precise,0
