configuration,mu,gamma,chi_saturation,reserve_1_minus_chi,noise,persistent_bias,failure_boundary,failure_probability,final_mean_x,final_sd_x,median_max_abs_x,p90_max_abs_x,p99_max_abs_x,survival_probability,operational_robustness
moderate_no_connection,2.0,0.0,0.8807970779778823,0.11920292202211769,0.2,0.15,4.0,0.0,0.009018919533409905,0.1924757038266856,1.083099051127143,1.9540770206332274,2.7975555376364514,1.0,0.3385152089858655
moderate_no_connection,2.0,0.0,0.8807970779778823,0.11920292202211769,0.4,0.15,4.0,0.0,0.00688194007902013,0.3723512218429672,1.3940103580986627,2.2275653988748005,3.183661286724084,1.0,0.30983105728814103
moderate_no_connection,2.0,0.0,0.8807970779778823,0.11920292202211769,0.6,0.15,4.0,0.0016666666666666668,0.0032734046759808934,0.5655234108495162,1.8836745043689977,2.4457388469345225,3.329524475305688,0.9983333333333333,0.28972983086675114
moderate_no_connection,2.0,0.0,0.8807970779778823,0.11920292202211769,0.8,0.15,4.0,0.008333333333333333,0.004542241814081763,0.7924099499953561,2.4700417542167776,3.0636008037342237,3.97322925145259,0.9916666666666667,0.24403643826317292
moderate_no_connection,2.0,0.0,0.8807970779778823,0.11920292202211769,1.0,0.15,4.0,0.051666666666666666,-0.03639645038532392,0.9993455709861458,3.0132095709396483,3.723510751660897,4.463376126999013,0.9483333333333334,0.20076874663614921
reserve_no_connection,4.0,0.0,0.9820137900379085,0.01798620996209155,0.2,0.15,4.0,0.0,0.034742597133540006,0.1737495548588955,1.106302833109794,1.9822169644866807,2.755850882110516,1.0,0.33532100846731205
reserve_no_connection,4.0,0.0,0.9820137900379085,0.01798620996209155,0.4,0.15,4.0,0.0,0.040972060642648384,0.3523457753680828,1.3106489131406946,2.0753113621690176,2.770663471685207,1.0,0.32517032658920747
reserve_no_connection,4.0,0.0,0.9820137900379085,0.01798620996209155,0.6,0.15,4.0,0.0033333333333333335,0.027963286797056213,0.49355643836833807,1.7200371276786854,2.4043882404945447,3.4416496630491644,0.9966666666666667,0.29275940235355885
reserve_no_connection,4.0,0.0,0.9820137900379085,0.01798620996209155,0.8,0.15,4.0,0.005833333333333334,0.037459824118442085,0.6896810479654939,2.1925459703720804,2.716283284636889,3.6265035005950814,0.9941666666666666,0.2675163841186571
reserve_no_connection,4.0,0.0,0.9820137900379085,0.01798620996209155,1.0,0.15,4.0,0.005833333333333334,0.01840079185011323,0.8363510960208536,2.674893901590803,3.18770925667783,3.907101421057755,0.9941666666666666,0.23740107197779853
near_absolute_no_connection,8.0,0.0,0.9996646498695336,0.00033535013046637197,0.2,0.15,4.0,0.015,1.4475790156551325,0.4443945034648982,2.492903473770448,3.25917482493683,4.036473163441862,0.985,0.23126545410462437
near_absolute_no_connection,8.0,0.0,0.9996646498695336,0.00033535013046637197,0.4,0.15,4.0,0.050833333333333335,1.2123490662602607,0.9725424198675041,3.1248661054064844,3.744628123787814,4.594223015157373,0.9491666666666667,0.20005080311940474
near_absolute_no_connection,8.0,0.0,0.9996646498695336,0.00033535013046637197,0.6,0.15,4.0,0.3308333333333333,0.9268748580175318,1.366787493291628,3.7973491344394854,4.459546569173432,5.107670603493453,0.6691666666666667,0.12256817634728548
near_absolute_no_connection,8.0,0.0,0.9996646498695336,0.00033535013046637197,0.8,0.15,4.0,0.73,0.7797371768240265,1.6033911054242098,4.311513648978533,4.97733750654197,5.55408544422757,0.27,0.04517061312072394
near_absolute_no_connection,8.0,0.0,0.9996646498695336,0.00033535013046637197,1.0,0.15,4.0,0.9491666666666667,0.4959227394340108,1.955466142201335,4.869838574803758,5.540741935611549,6.19971527457446,0.050833333333333286,0.007771799259739553
near_absolute_with_connection,8.0,0.2,0.9996646498695336,0.00033535013046637197,0.2,0.15,4.0,0.0016666666666666668,0.5436094877595036,0.3293660779913923,1.4857550641308406,2.3560467034717734,3.037114188650592,0.9983333333333333,0.29747301558723077
near_absolute_with_connection,8.0,0.2,0.9996646498695336,0.00033535013046637197,0.4,0.15,4.0,0.0025,0.4965112013361653,0.6478855704408675,2.122271467591341,2.8005863417808685,3.6511039142179937,0.9975,0.26245950237578186
near_absolute_with_connection,8.0,0.2,0.9996646498695336,0.00033535013046637197,0.6,0.15,4.0,0.024166666666666666,0.4925839102295638,0.9513598852690116,2.7953062099224013,3.4571345504850357,4.308727698993175,0.9758333333333333,0.2189373738396883
near_absolute_with_connection,8.0,0.2,0.9996646498695336,0.00033535013046637197,0.8,0.15,4.0,0.16,0.42743317221906635,1.2260434556571334,3.4576687448658214,4.165560458071874,4.808209055009011,0.84,0.162615461926767
near_absolute_with_connection,8.0,0.2,0.9996646498695336,0.00033535013046637197,1.0,0.15,4.0,0.5391666666666667,0.3365873504813581,1.484804751578315,4.0541538754805515,4.829378870662071,5.438456136115005,0.4608333333333333,0.07905359105283102
reserve_with_connection,4.0,0.2,0.9820137900379085,0.01798620996209155,0.2,0.15,4.0,0.0,0.03725035067584914,0.16209910644450504,1.079900906795131,1.993109908449775,3.1035591133016123,1.0,0.3341006613813026
reserve_with_connection,4.0,0.2,0.9820137900379085,0.01798620996209155,0.4,0.15,4.0,0.0,0.0506565186826899,0.31150945842868033,1.2130353811182053,2.1185522033471873,2.950731800041573,1.0,0.3206616194933936
reserve_with_connection,4.0,0.2,0.9820137900379085,0.01798620996209155,0.6,0.15,4.0,0.0008333333333333334,0.031832295773464414,0.47062197400557376,1.6191189030851318,2.3301587531272303,3.3794173271763897,0.9991666666666666,0.30003574626236235
reserve_with_connection,4.0,0.2,0.9820137900379085,0.01798620996209155,0.8,0.15,4.0,0.0025,0.03858159908390126,0.5972595156826133,2.0146276426004692,2.567379100472761,3.288215272864854,0.9975,0.27961704430790885
reserve_with_connection,4.0,0.2,0.9820137900379085,0.01798620996209155,1.0,0.15,4.0,0.0033333333333333335,0.025425693745176954,0.7771012072552668,2.4648342010377844,2.9777181029490807,3.676148705366517,0.9966666666666667,0.25056241816828045
