relative_path,size_bytes,sha256
00_original/極限拮抗論：宇宙作為正反張力的永恆戰場.docx,57456,c91ca8cfc7143e00e16d2ab579e81c7d70dda46721e28517a6cc32b8a6cce3ee
01_round1/extremal_antagonism_round1.py,670,1e0f84502009b63123ea579eb6103922ef993f64b3de21af2adcff7568933e47
01_round1/extremal_antagonism_round1_drives.png,83120,1cd95c26c00d8257c7da05b01c1fd4d804da3a47ef7cff20f7527ba76f13cf11
01_round1/extremal_antagonism_round1_state.png,76605,205d3e8e0fddf48d9987ada6553782c795dfceb2d48094cbb6023775ef8bc556
02_round2/extremal_antagonism_round2.py,711,a0bf963f21b4b9593ccafade0354261014b3185e0598a0c3d70c1e0adbe3d93b
02_round2/extremal_antagonism_round2_recovery_no_connection.png,106313,fb1a2badfa9a4aa4c71b3d43ce569848702b438dc6d614d7c41e2e7a888618d8
02_round2/extremal_antagonism_round2_recovery_with_connection.png,91373,5d9f4a4478c041dc510412446c468ebae8626ba5b3311fdbdcd917bbe84c379a
02_round2/extremal_antagonism_round2_saturation_vs_control.png,69507,e3d2c4774de931ec24035863651c1386fd012d50fc8c99a5bcf3f7327df1639c
02_round2/extremal_antagonism_round2_stability_margin.png,64016,d23290e54e3f7b6a8908781fba3cf9172892c1aa64e6b6ed21a36fef2a001bcb
02_round2/extremal_antagonism_round2_sweep.csv,64994,ebb3802ba8cea92877bf4e725da6762aa9ad9806b1ccfca021d4b75d265fe16b
03_round3/extremal_antagonism_round3.py,504,b82917cb5c95f536c9008deca0d9a67d057ecb1b653bb6df1d4c27f6a89cbc96
03_round3/extremal_antagonism_round3_covariance.csv,54700,0bda6f40ce7274c1d7d741ed0c0a50b5a776eb4040636f67a3378e65cfb8a097
03_round3/extremal_antagonism_round3_failure_probability.png,111764,2fe7d0577c821c6c0c464bc79750f235ad4df017e56545a814ed06f67bb4c49c
03_round3/extremal_antagonism_round3_monte_carlo.csv,5915,3e995f82705a4511db47f65c3b93e51f345f200abc5ccf0de89247804dd055b2
03_round3/extremal_antagonism_round3_robustness_frontier.png,79262,76b01825c787d17e1ab8815654e80e4c5f079cf6d0160c3df638201051207d15
03_round3/extremal_antagonism_round3_sample_paths.png,212300,f20d8271f038d337992910171a262527bcc40bc3a704a2810c61dc8f2b8908b2
03_round3/extremal_antagonism_round3_stationary_variance.png,68847,a0ddcf0d4568cf7564a5b64ff3fb19b0a75b80bc4273097cc4c2fb1cd2d3e119
04_round4/extremal_antagonism_round4.py,456,6f8378121645730fc1ce400aef26cb8c2b67de38836411c809547617cfa21443
04_round4/extremal_antagonism_round4_bias_rejection.png,127135,a7e88a221d06c112ed871ff7fdb68c170279f9c85306527c781bf4c8b2017a01
04_round4/extremal_antagonism_round4_bias_summary.csv,570,063b0a54fcbf9ad7feb9b9995832414ba5112c0029b0df9255f5619787ae2f34
04_round4/extremal_antagonism_round4_connector_capacity.png,82286,fbd07c03e315ff94d700c2eebb8d38eec3540f4dba1fa1baa3dd90e5a4c0a9f5
04_round4/extremal_antagonism_round4_connector_stability.png,90057,421a287d094ca88d4b8d6443ad76c5668adcc3357f14e0b585a16bceee2e2ee6
04_round4/extremal_antagonism_round4_hidden_state_divergence.png,113906,cacec83dbd62d3e5808125dc0d0bc81940072bb06b48193c1da534c3ea36e329
04_round4/extremal_antagonism_round4_hidden_state_test.csv,270,e38280d678c452c8ad9e0bc2f2ca88c201e8982c476801a565b56f041be5bacd
04_round4/extremal_antagonism_round4_memory_check.csv,131,6c3c3be2c2eebe00b565dc30bd057c76a2f85fc6e6fafdf597ed522c0c6ff07a
04_round4/extremal_antagonism_round4_stability_sweep.csv,93555,bae81a084d1faef8a161e40baefa3c280dcd2f733c3ecb7aa49edfb3ed11cd33
05_round5/extremal_antagonism_round5.py,497,e8711c5f425141b158dd25198f8cf5981f38a0987163c9d5503a7ef52651c591
05_round5/round5_closed_loop_comparison.png,145716,ee315a6128516584c803a7239450a33eed3f35fcff43398b8a451d20bfe9fc36
05_round5/round5_connector_performance.csv,845,c825c21f7997d585a65b58b02a9fda23dc3cc6b3e37a079b7a279e6c0f439108
05_round5/round5_kernel_responses_path_A.png,144885,e2c68af9b4250a7ae59f7bafbcb209c894764767bccc8ca6311aeafa1ec8a018
05_round5/round5_kernel_taxonomy.csv,348,610ef1ed90217d34845d32b9e4feaa693fc8ebc4abf58c806873e5cc94a368e6
05_round5/round5_operational_cost.png,72639,6c7cb6e21bb7ae80ba8684946deb1fafd263793b5454093ae397ce185d927909
05_round5/round5_path_dependence.csv,452,1ca7ad5e8e1234ff39f6bdae0b95bc9e9c4536f3055ef163b5fda40778e4fe29
05_round5/round5_path_metadata.csv,235,7a8f760432a9a62a22e152a852fba93f434fca457e148f97439772b9fd33b04c
05_round5/round5_path_order_sensitivity.png,67110,34a6011aab03cb0097ab9023e1a62d5f0733c15f7e16b066a2c923c7a3caccbd
05_round5/round5_reversed_histories.png,100313,a0c6f72ee50d50f33b9f759fff20af5bdf3cd2871a6ef3b75e5ec0ba779f8c0d
README.md,6347,f5d47871256538892ced4deb600499f16310c97adc3b560ab4125e1820ce4f92
極限拮抗論_v2_五輪核心命題.md,1280,162994b74206d4a7fa2539ce07eac5b3121d45db37b9e7571daa7bb13faf0e24
