amplitude,event_detected,event_time,minimum_separation_observed,minimum_winding_count,initial_kelvin_ratio,pre_event_kelvin_ratio,event_kelvin_ratio,post_event_kelvin_ratio,fit_prefactor,fit_t0,fit_alpha,fit_r_squared,fit_points
0.0,False,,5.333333333333332,96.0,0.0,0.0,0.0,0.0,,,,,0
0.5,False,,3.8211070445404687,96.0,0.15218902146551136,0.1047131680641086,0.1047131680641086,0.1047131680641086,,,,,0
0.75,False,,3.8734408295668175,96.0,0.040703201912153056,0.024452893446689508,0.024452893446689508,0.024452893446689508,,,,,0
1.0,False,,2.5617578867111916,96.0,0.006783871770422002,0.05004252477690568,0.05004252477690568,0.05004252477690568,,,,,0
1.25,False,,1.302546503425038,96.0,0.008428633992545892,0.10610847651684992,0.10610847651684992,0.10610847651684992,,,,,0
1.3,True,7.574999999999999,0.8822072790954252,90.0,0.008326948393191353,0.048060662590361784,0.08941423116611184,0.09986131749918781,1.1198088407099591,8.074999999999998,0.7097255000991698,0.7699735207588132,24
1.35,True,6.225,0.5657724309554837,86.0,0.011546228883937346,0.06997256748469519,0.07887814391685792,0.05166715155026249,2.109405904410215,6.125000000000001,0.20157281253278223,0.5296184993583322,24
1.4,True,5.925,0.38320806777613114,82.0,0.008209953273083631,0.05291541099653392,0.08047857358328775,0.03412187209560081,1.4899044633401572,6.424999999999999,0.5729482879922618,0.6471644655768307,25
1.45,True,4.95,0.307317767565884,82.0,0.005503574276411663,0.049889112521383866,0.06857318898230096,0.05976021954210764,2.348351571313449,4.850000000000001,0.19009817463740084,0.8259256288788048,25
1.5,True,4.725,0.2759053247114167,78.0,0.002623568372122734,0.034762181218580906,0.06517312163247295,0.03641076319420413,1.607510302104588,5.224999999999999,0.5446813401115413,0.8311080513460102,24
1.55,True,4.5,0.2172033090005101,78.0,0.0018792662944370532,0.029678457914872957,0.05102866763722366,0.03359830564608151,1.3281830958058254,4.9999999999999805,0.7272913734371647,0.8898817411731005,25
1.6,True,3.75,0.2293190349135159,78.0,0.0011066193164811727,0.02812615484630197,0.04288602234600065,0.05102866763722366,1.9585005854355615,3.9013660264864716,0.4591638492612593,0.9265673395768477,25
1.65,True,3.525,0.2708914172097785,74.0,0.0011189149860264425,0.016570341615945956,0.03469841611713936,0.02503786005496586,1.6350004147070591,3.8695223641622944,0.6028871265146732,0.9471746289144435,25
1.75,True,2.6999999999999997,0.1999794143477196,74.0,0.002355760735132955,0.016201718444463404,0.025177186450081445,0.025331037028598773,1.8815792420176918,2.9398659838294585,0.4516445990821082,0.9638146525527957,25
1.8,True,2.4,0.22442177836935784,74.0,0.0026665261025232267,0.026698471975993374,0.025575033360707985,0.028870963024561446,1.7530665597044794,2.6727298860413726,0.5301140057989127,0.9510600994331185,25
1.9,True,1.95,0.22810028127777926,70.0,0.002177275950500702,0.020534906627472475,0.03425955823352822,0.018511189780527064,1.6211283343930674,2.1985300309537923,0.46714502972941535,0.8857961659564006,25
2.0,True,1.5,0.25111214585406216,70.0,0.005657747356125134,0.015972787022095734,0.020884779189427837,0.03136740002293469,1.83136959977155,1.6027589516224279,0.3928531034552034,0.8830727725547305,19
